size,bedrooms,age,distance,price
2185.4,4,22.4,26.3,207.78
4778.2,6,30.0,18.9,453.21
3794.0,3,25.8,35.2,300.32
3194.0,5,46.0,8.6,305.85
1202.1,1,24.8,27.1,96.52
1202.0,5,49.6,24.3,112.35
761.4,6,42.6,11.8,137.13
4397.8,6,10.4,5.5,441.97
3205.0,1,46.5,26.1,216.75
3686.3,2,5.8,29.5,311.49
592.6,1,40.9,12.6,59.53
4864.6,4,19.0,25.8,411.87
4246.0,3,43.9,15.8,348.64
1455.5,2,43.4,28.5,100.78
1318.2,1,40.3,8.0,139.53
1325.3,5,39.5,35.6,113.72
1869.1,2,15.2,11.5,211.55
2861.4,2,4.0,14.7,264.44
2443.8,1,20.1,2.3,240.85
1810.5,2,8.7,4.5,194.44
3253.3,5,34.7,20.6,312.92
1127.7,6,17.3,10.7,153.55
1814.7,2,48.8,33.4,137.18
2148.6,6,32.0,0.6,257.1
2552.3,5,41.1,15.2,238.9
4033.3,1,6.6,13.5,354.64
1398.5,3,43.1,0.8,179.21
2814.1,2,46.1,5.0,252.82
3165.9,3,24.4,16.5,278.46
709.0,5,30.3,19.7,84.86
3234.0,2,38.2,16.2,281.44
1267.4,6,8.7,21.2,175.57
792.7,4,25.1,23.8,108.06
4770.0,3,19.9,0.4,423.15
4845.3,2,7.3,18.6,406.3
4137.8,3,18.4,38.5,355.76
1870.8,2,3.4,20.8,190.71
939.5,1,1.3,27.1,101.47
3579.0,6,6.8,12.5,357.69
2480.7,3,48.2,31.0,178.68
1049.2,4,27.5,30.9,120.45
2728.3,4,48.3,20.9,253.85
654.7,5,21.6,39.0,60.27
4591.9,2,15.6,5.0,398.18
1664.5,3,25.3,0.7,190.24
3481.4,5,22.0,30.8,302.72
1902.7,3,5.3,32.3,167.22
2840.3,2,32.0,4.8,245.65
2960.2,4,10.8,10.6,295.25
1331.8,1,31.0,0.7,123.37
4863.1,4,32.5,11.7,419.07
3988.1,5,7.6,30.9,371.09
4727.7,6,3.1,20.7,453.86
4526.7,1,39.0,13.9,377.36
3190.5,5,23.0,14.9,289.75
4648.4,2,2.9,0.1,439.55
898.2,1,49.7,12.0,105.23
1381.9,5,2.9,25.9,163.8
703.5,2,34.8,39.0,52.31
1964.0,4,49.2,33.9,169.15
2249.0,6,12.0,0.9,291.95
1721.1,2,7.1,35.9,150.66
4229.3,3,6.1,31.3,375.01
2105.4,2,15.2,31.2,189.96
1764.2,2,5.1,18.3,189.14
2942.1,6,34.6,15.9,277.08
1134.2,3,3.1,12.1,124.5
4109.9,5,25.5,2.6,381.19
835.5,5,49.8,9.1,109.3
4941.0,2,40.7,9.9,426.78
3975.1,3,30.8,19.4,327.7
1394.2,3,15.3,29.9,148.31
524.8,6,31.2,19.0,90.99
4169.6,4,26.4,2.3,391.61
3680.9,5,21.3,38.3,307.44
3780.5,6,6.5,37.7,322.42
3970.7,1,44.3,31.4,298.56
833.2,5,22.5,39.7,114.8
2113.1,6,9.7,21.8,237.65
1021.4,5,18.4,38.5,81.48
4384.0,4,20.7,3.0,431.37
3304.8,1,41.4,14.6,244.99
1989.0,4,36.7,9.0,188.12
786.0,1,38.5,7.8,76.8
1899.4,2,0.6,5.6,214.91
